year,lgacode,age_range,indigenous_status,gender,number_of_people
2016,22830,0_4,indigenous,f,119
2016,22910,0_4,indigenous,f,10
2016,22980,0_4,indigenous,f,5
2016,23110,0_4,indigenous,f,22
2016,23190,0_4,indigenous,f,23
2016,23270,0_4,indigenous,f,86
2016,23350,0_4,indigenous,f,13
2016,23430,0_4,indigenous,f,28
2016,23670,0_4,indigenous,f,42
2016,23810,0_4,indigenous,f,97
2016,23940,0_4,indigenous,f,6
2016,24130,0_4,indigenous,f,16
2016,24210,0_4,indigenous,f,11
2016,24250,0_4,indigenous,f,3
2016,24330,0_4,indigenous,f,18
2016,24410,0_4,indigenous,f,28
2016,24600,0_4,indigenous,f,5
2016,24650,0_4,indigenous,f,86
2016,24780,0_4,indigenous,f,137
2016,24850,0_4,indigenous,f,46
2016,24900,0_4,indigenous,f,37
2016,24970,0_4,indigenous,f,19
2016,17100,0_4,indigenous,f,3
2016,17150,0_4,indigenous,f,125
2016,17200,0_4,indigenous,f,63
2016,17310,0_4,indigenous,f,377
2016,17350,0_4,indigenous,f,11
2016,17400,0_4,indigenous,f,22
2016,22310,0_4,indigenous,f,12
2016,22410,0_4,indigenous,f,42
2016,22490,0_4,indigenous,f,6
2016,22620,0_4,indigenous,f,129
2016,22670,0_4,indigenous,f,32
2016,22750,0_4,indigenous,f,144
2016,25060,0_4,indigenous,f,12
2016,25150,0_4,indigenous,f,28
2016,25250,0_4,indigenous,f,31
2016,25340,0_4,indigenous,f,64
2016,25430,0_4,indigenous,f,5
2016,25490,0_4,indigenous,f,5
2016,25620,0_4,indigenous,f,9
2016,25710,0_4,indigenous,f,11
2016,25810,0_4,indigenous,f,14
2016,25900,0_4,indigenous,f,10
2016,25990,0_4,indigenous,f,3
2016,26080,0_4,indigenous,f,0
2016,26170,0_4,indigenous,f,8
2016,26260,0_4,indigenous,f,11
2016,26350,0_4,indigenous,f,11
2016,26430,0_4,indigenous,f,3
2016,26490,0_4,indigenous,f,12
2016,26610,0_4,indigenous,f,61
2016,26670,0_4,indigenous,f,3
2016,26700,0_4,indigenous,f,28
2016,26730,0_4,indigenous,f,39
2016,26810,0_4,indigenous,f,34
2016,26890,0_4,indigenous,f,3
2016,26980,0_4,indigenous,f,12
2016,27070,0_4,indigenous,f,120
2016,27170,0_4,indigenous,f,68
2016,27260,0_4,indigenous,f,108
2016,27350,0_4,indigenous,f,10
2016,27450,0_4,indigenous,f,56
2016,27630,0_4,indigenous,f,0
2016,29399,0_4,indigenous,f,0
2016,30250,0_4,indigenous,f,40
2016,30300,0_4,indigenous,f,36
2016,30370,0_4,indigenous,f,43
2016,30410,0_4,indigenous,f,12
2016,30450,0_4,indigenous,f,0
2016,30760,0_4,indigenous,f,3
2016,34710,0_4,indigenous,f,7
2016,34770,0_4,indigenous,f,367
2016,34800,0_4,indigenous,f,0
2016,34830,0_4,indigenous,f,23
2016,34860,0_4,indigenous,f,45
2016,34880,0_4,indigenous,f,107
2016,35010,0_4,indigenous,f,849
2016,35250,0_4,indigenous,f,39
2016,35300,0_4,indigenous,f,216
2016,35600,0_4,indigenous,f,37
2016,35670,0_4,indigenous,f,47
2016,35740,0_4,indigenous,f,32
