year,lgacode,weekly_income_range,indigenous_status,number_of_household
2016,26890,1_149,indigenous,0
2016,26980,1_149,indigenous,3
2016,27070,1_149,indigenous,0
2016,27170,1_149,indigenous,8
2016,27260,1_149,indigenous,0
2016,27350,1_149,indigenous,0
2016,27450,1_149,indigenous,7
2016,27630,1_149,indigenous,4
2016,29399,1_149,indigenous,0
2016,29499,1_149,indigenous,0
2016,29799,1_149,indigenous,0
2016,30250,1_149,indigenous,3
2016,30300,1_149,indigenous,0
2016,30370,1_149,indigenous,3
2016,30410,1_149,indigenous,0
2016,30450,1_149,indigenous,0
2016,30760,1_149,indigenous,0
2016,30900,1_149,indigenous,0
2016,31000,1_149,indigenous,66
2016,31750,1_149,indigenous,0
2016,31820,1_149,indigenous,9
2016,31900,1_149,indigenous,3
2016,31950,1_149,indigenous,0
2016,32080,1_149,indigenous,58
2016,32250,1_149,indigenous,0
2016,32260,1_149,indigenous,16
2016,32270,1_149,indigenous,0
2016,32310,1_149,indigenous,7
2016,32330,1_149,indigenous,5
2016,32450,1_149,indigenous,0
2016,32500,1_149,indigenous,3
2016,32600,1_149,indigenous,0
2016,32750,1_149,indigenous,0
2016,32770,1_149,indigenous,3
2016,32810,1_149,indigenous,6
2016,33100,1_149,indigenous,0
2016,33200,1_149,indigenous,0
2016,33220,1_149,indigenous,15
2016,33360,1_149,indigenous,12
2016,33430,1_149,indigenous,29
2016,33610,1_149,indigenous,0
2016,33620,1_149,indigenous,11
2016,33800,1_149,indigenous,0
2016,33830,1_149,indigenous,0
2016,33960,1_149,indigenous,25
2016,33980,1_149,indigenous,3
2016,34420,1_149,indigenous,0
2016,34530,1_149,indigenous,5
2016,34570,1_149,indigenous,0
2016,34580,1_149,indigenous,3
2016,34590,1_149,indigenous,20
2016,34710,1_149,indigenous,0
2016,34770,1_149,indigenous,25
2016,34800,1_149,indigenous,0
2016,34830,1_149,indigenous,0
2016,34860,1_149,indigenous,7
2016,34880,1_149,indigenous,9
2016,35010,1_149,indigenous,37
2016,35250,1_149,indigenous,3
2016,35300,1_149,indigenous,15
2016,35600,1_149,indigenous,0
2016,35670,1_149,indigenous,7
2016,35740,1_149,indigenous,0
2016,35760,1_149,indigenous,4
2016,35780,1_149,indigenous,5
2016,35790,1_149,indigenous,5
2016,35800,1_149,indigenous,4
2016,36070,1_149,indigenous,0
2016,36150,1_149,indigenous,0
2016,36250,1_149,indigenous,10
2016,36300,1_149,indigenous,0
2016,36370,1_149,indigenous,27
2016,36510,1_149,indigenous,5
2016,36580,1_149,indigenous,0
2016,36630,1_149,indigenous,14
2016,36660,1_149,indigenous,7
2016,36720,1_149,indigenous,25
2016,36820,1_149,indigenous,14
2016,36910,1_149,indigenous,21
2016,36950,1_149,indigenous,5
2016,36960,1_149,indigenous,10
2016,37010,1_149,indigenous,48
2016,37300,1_149,indigenous,0
2016,37310,1_149,indigenous,7
2016,37340,1_149,indigenous,9
2016,37400,1_149,indigenous,0
2016,37550,1_149,indigenous,3
2016,37570,1_149,indigenous,0
2016,37600,1_149,indigenous,3
2016,39499,1_149,indigenous,0
2016,39799,1_149,indigenous,0
2016,40070,1_149,indigenous,7
2016,40120,1_149,indigenous,0
2016,40220,1_149,indigenous,3
2016,40250,1_149,indigenous,0
2016,40310,1_149,indigenous,3
2016,40430,1_149,indigenous,0
2016,40520,1_149,indigenous,6
2016,40700,1_149,indigenous,0
2016,40910,1_149,indigenous,0
2016,41010,1_149,indigenous,0
2016,41060,1_149,indigenous,12
2016,41140,1_149,indigenous,0
2016,41190,1_149,indigenous,0
2016,41330,1_149,indigenous,0
2016,41560,1_149,indigenous,0
2016,41750,1_149,indigenous,0
2016,41830,1_149,indigenous,0
2016,41960,1_149,indigenous,0
2016,42030,1_149,indigenous,0
2016,42110,1_149,indigenous,0
2016,42250,1_149,indigenous,0
2016,42600,1_149,indigenous,3
2016,42750,1_149,indigenous,0
2016,43080,1_149,indigenous,0
2016,43220,1_149,indigenous,0
2016,43360,1_149,indigenous,0
2016,43650,1_149,indigenous,0
2016,43710,1_149,indigenous,0
2016,43790,1_149,indigenous,3
2016,43920,1_149,indigenous,0
2016,44000,1_149,indigenous,0
2016,44060,1_149,indigenous,10
2016,44210,1_149,indigenous,3
2016,44340,1_149,indigenous,0
2016,44550,1_149,indigenous,0
2016,44620,1_149,indigenous,6
2016,44830,1_149,indigenous,0
2016,45040,1_149,indigenous,3
2016,45090,1_149,indigenous,0
2016,45120,1_149,indigenous,0
2016,45290,1_149,indigenous,0
2016,45340,1_149,indigenous,20
2016,45400,1_149,indigenous,0
2016,45540,1_149,indigenous,0
2016,45680,1_149,indigenous,11
2016,45890,1_149,indigenous,23
2016,46090,1_149,indigenous,20
2016,46300,1_149,indigenous,3
2016,46450,1_149,indigenous,7
2016,46510,1_149,indigenous,0
2016,46670,1_149,indigenous,0
2016,46860,1_149,indigenous,0
2016,46970,1_149,indigenous,0
2016,47140,1_149,indigenous,13
2016,47290,1_149,indigenous,0
2016,47490,1_149,indigenous,0
2016,47630,1_149,indigenous,0
2016,47700,1_149,indigenous,14
2016,47800,1_149,indigenous,0
2016,47910,1_149,indigenous,0
2016,47980,1_149,indigenous,0
2016,48050,1_149,indigenous,0
2016,48130,1_149,indigenous,0
2016,48260,1_149,indigenous,0
2016,48340,1_149,indigenous,0
2016,48410,1_149,indigenous,4
2016,48540,1_149,indigenous,10
2016,48640,1_149,indigenous,0
2016,48750,1_149,indigenous,0
2016,48830,1_149,indigenous,0
2016,49399,1_149,indigenous,0
2016,49499,1_149,indigenous,0
2016,49799,1_149,indigenous,0
2016,50080,1_149,indigenous,3
2016,50210,1_149,indigenous,7
2016,50250,1_149,indigenous,3
2016,50280,1_149,indigenous,0
2016,50350,1_149,indigenous,0
2016,50420,1_149,indigenous,3
2016,50490,1_149,indigenous,9
2016,50560,1_149,indigenous,0
2016,50630,1_149,indigenous,0
2016,50770,1_149,indigenous,0
2016,50840,1_149,indigenous,0
2016,50910,1_149,indigenous,0
2016,50980,1_149,indigenous,14
2016,51080,1_149,indigenous,0
2016,51120,1_149,indigenous,0
2016,51190,1_149,indigenous,8
2016,51260,1_149,indigenous,7
2016,51310,1_149,indigenous,0
2016,51330,1_149,indigenous,11
2016,51400,1_149,indigenous,3
2016,51470,1_149,indigenous,0
2016,51540,1_149,indigenous,4
2016,51610,1_149,indigenous,0
2016,51680,1_149,indigenous,0
2016,51750,1_149,indigenous,0
2016,51820,1_149,indigenous,12
2016,51890,1_149,indigenous,0
2016,51960,1_149,indigenous,0
2016,52030,1_149,indigenous,0
2016,52100,1_149,indigenous,0
2016,52170,1_149,indigenous,0
2016,52240,1_149,indigenous,0
2016,52310,1_149,indigenous,0
2016,52380,1_149,indigenous,0
2016,52450,1_149,indigenous,0
2016,52520,1_149,indigenous,0
2016,52590,1_149,indigenous,0
2016,52660,1_149,indigenous,0
2016,52730,1_149,indigenous,0
2016,52800,1_149,indigenous,11
2016,52870,1_149,indigenous,0
2016,52940,1_149,indigenous,0
2016,53010,1_149,indigenous,0
2016,53080,1_149,indigenous,0
2016,53150,1_149,indigenous,0
2016,53220,1_149,indigenous,6
2016,53290,1_149,indigenous,3
2016,53360,1_149,indigenous,0
2016,53430,1_149,indigenous,0
2016,53570,1_149,indigenous,0
2016,53640,1_149,indigenous,0
2016,53710,1_149,indigenous,0
2016,53780,1_149,indigenous,7
2016,53800,1_149,indigenous,27
2016,53920,1_149,indigenous,9
2016,53990,1_149,indigenous,0
2016,54060,1_149,indigenous,0
2016,54130,1_149,indigenous,0
2016,54170,1_149,indigenous,3
2016,54200,1_149,indigenous,4
2016,54280,1_149,indigenous,15
2016,54310,1_149,indigenous,7
2016,54340,1_149,indigenous,0
2016,54410,1_149,indigenous,0
2016,54480,1_149,indigenous,0
2016,54550,1_149,indigenous,0
2016,54620,1_149,indigenous,0
2016,54690,1_149,indigenous,0
2016,54760,1_149,indigenous,0
2016,54830,1_149,indigenous,3
2016,54900,1_149,indigenous,0
2016,54970,1_149,indigenous,3
2016,55040,1_149,indigenous,0
2016,55110,1_149,indigenous,7
2016,55180,1_149,indigenous,3
2016,55250,1_149,indigenous,0
2016,55320,1_149,indigenous,0
2016,55390,1_149,indigenous,0
2016,55460,1_149,indigenous,3
2016,55530,1_149,indigenous,0
2016,55600,1_149,indigenous,4
2016,55670,1_149,indigenous,3
2016,55740,1_149,indigenous,0
2016,55810,1_149,indigenous,0
2016,55880,1_149,indigenous,0
2016,55950,1_149,indigenous,0
2016,56090,1_149,indigenous,3
2016,56160,1_149,indigenous,0
2016,56230,1_149,indigenous,0
2016,56300,1_149,indigenous,0
2016,56370,1_149,indigenous,0
2016,56460,1_149,indigenous,0
2016,56580,1_149,indigenous,0
2016,56620,1_149,indigenous,0
2016,56730,1_149,indigenous,7
2016,56790,1_149,indigenous,0
2016,56860,1_149,indigenous,0
2016,56930,1_149,indigenous,0
2016,57000,1_149,indigenous,0
2016,57080,1_149,indigenous,0
2016,57140,1_149,indigenous,3
2016,57210,1_149,indigenous,0
2016,57280,1_149,indigenous,9
2016,57350,1_149,indigenous,0
2016,57420,1_149,indigenous,0
2016,57490,1_149,indigenous,10
2016,57630,1_149,indigenous,0
2016,57700,1_149,indigenous,0
2016,57770,1_149,indigenous,0
2016,57840,1_149,indigenous,6
2016,57910,1_149,indigenous,16
2016,57980,1_149,indigenous,0
2016,58050,1_149,indigenous,18
2016,58190,1_149,indigenous,0
2016,58260,1_149,indigenous,0
2016,58330,1_149,indigenous,0
2016,58400,1_149,indigenous,0
2016,58470,1_149,indigenous,0
2016,58510,1_149,indigenous,6
2016,58540,1_149,indigenous,0
2016,58570,1_149,indigenous,3
2016,58610,1_149,indigenous,0
2016,58680,1_149,indigenous,0
2016,58760,1_149,indigenous,15
2016,58820,1_149,indigenous,0
2016,58890,1_149,indigenous,0
2016,59030,1_149,indigenous,0
2016,59100,1_149,indigenous,0
2016,59170,1_149,indigenous,0
2016,59250,1_149,indigenous,0
2016,59310,1_149,indigenous,0
2016,59320,1_149,indigenous,0
2016,59330,1_149,indigenous,0
2016,59340,1_149,indigenous,8
2016,59350,1_149,indigenous,0
2016,59360,1_149,indigenous,0
2016,59370,1_149,indigenous,0
2016,59499,1_149,indigenous,0
2016,59799,1_149,indigenous,0
2016,60210,1_149,indigenous,0
2016,60410,1_149,indigenous,9
2016,60610,1_149,indigenous,3
2016,60810,1_149,indigenous,9
2016,61010,1_149,indigenous,0
2016,61210,1_149,indigenous,4
2016,61410,1_149,indigenous,12
2016,61510,1_149,indigenous,0
2016,61610,1_149,indigenous,0
2016,61810,1_149,indigenous,3
2016,62010,1_149,indigenous,0
2016,62210,1_149,indigenous,0
2016,62410,1_149,indigenous,0
2016,62610,1_149,indigenous,9
2016,62810,1_149,indigenous,6
2016,63010,1_149,indigenous,4
2016,63210,1_149,indigenous,0
2016,63410,1_149,indigenous,0
2016,63610,1_149,indigenous,0
2016,63810,1_149,indigenous,0
2016,64010,1_149,indigenous,19
2016,64210,1_149,indigenous,3
2016,64610,1_149,indigenous,0
2016,64810,1_149,indigenous,0
2016,65010,1_149,indigenous,0
2016,65210,1_149,indigenous,0
2016,65410,1_149,indigenous,3
2016,65610,1_149,indigenous,0
2016,65810,1_149,indigenous,0
2016,69499,1_149,indigenous,0
2016,69799,1_149,indigenous,0
2016,70200,1_149,indigenous,19
2016,70420,1_149,indigenous,21
2016,70540,1_149,indigenous,0
2016,70620,1_149,indigenous,3
2016,70700,1_149,indigenous,0
2016,71000,1_149,indigenous,18
2016,71300,1_149,indigenous,7
2016,72200,1_149,indigenous,11
2016,72300,1_149,indigenous,0
2016,72330,1_149,indigenous,22
2016,72800,1_149,indigenous,18
2016,73600,1_149,indigenous,9
2016,74050,1_149,indigenous,36
2016,74550,1_149,indigenous,3
2016,74560,1_149,indigenous,0
2016,74660,1_149,indigenous,14
2016,74680,1_149,indigenous,10
2016,79399,1_149,indigenous,0
2016,79499,1_149,indigenous,0
2016,79799,1_149,indigenous,0
2016,89399,1_149,indigenous,24
2016,89499,1_149,indigenous,0
2016,89799,1_149,indigenous,0
2016,99399,1_149,indigenous,0
2016,99499,1_149,indigenous,0
2016,99799,1_149,indigenous,0
2016,10050,1_149,non_indigenous,137
2016,10130,1_149,non_indigenous,71
2016,10250,1_149,non_indigenous,87
2016,10300,1_149,non_indigenous,4
2016,10470,1_149,non_indigenous,84
2016,10550,1_149,non_indigenous,132
2016,10600,1_149,non_indigenous,35
2016,10650,1_149,non_indigenous,29
2016,10750,1_149,non_indigenous,520
2016,10800,1_149,non_indigenous,12
2016,10850,1_149,non_indigenous,17
2016,10900,1_149,non_indigenous,155
2016,10950,1_149,non_indigenous,3
2016,11100,1_149,non_indigenous,132
2016,11150,1_149,non_indigenous,4
2016,11200,1_149,non_indigenous,0
2016,11250,1_149,non_indigenous,35
2016,11300,1_149,non_indigenous,149
2016,11350,1_149,non_indigenous,95
2016,11400,1_149,non_indigenous,43
2016,11450,1_149,non_indigenous,101
2016,11500,1_149,non_indigenous,260
2016,11520,1_149,non_indigenous,239
2016,11570,1_149,non_indigenous,906
2016,11600,1_149,non_indigenous,11
2016,11650,1_149,non_indigenous,768
2016,11700,1_149,non_indigenous,10
2016,11720,1_149,non_indigenous,105
2016,11730,1_149,non_indigenous,179
2016,11750,1_149,non_indigenous,8
2016,11800,1_149,non_indigenous,145
2016,12000,1_149,non_indigenous,6
2016,12150,1_149,non_indigenous,5
2016,12350,1_149,non_indigenous,42
2016,12380,1_149,non_indigenous,511
2016,12700,1_149,non_indigenous,27
2016,12730,1_149,non_indigenous,33
2016,12750,1_149,non_indigenous,125
2016,12850,1_149,non_indigenous,504
2016,12870,1_149,non_indigenous,37
2016,12900,1_149,non_indigenous,31
2016,12930,1_149,non_indigenous,370
2016,12950,1_149,non_indigenous,16
2016,13010,1_149,non_indigenous,35
2016,13310,1_149,non_indigenous,108
2016,13340,1_149,non_indigenous,37
2016,13450,1_149,non_indigenous,55
2016,13510,1_149,non_indigenous,37
2016,13550,1_149,non_indigenous,24
2016,13660,1_149,non_indigenous,22
2016,13800,1_149,non_indigenous,124
2016,13850,1_149,non_indigenous,15
2016,13910,1_149,non_indigenous,75
2016,14000,1_149,non_indigenous,299
2016,14100,1_149,non_indigenous,28
2016,14170,1_149,non_indigenous,445
2016,14200,1_149,non_indigenous,48
2016,14300,1_149,non_indigenous,12
2016,14350,1_149,non_indigenous,74
2016,14400,1_149,non_indigenous,40
2016,14500,1_149,non_indigenous,256
2016,14550,1_149,non_indigenous,36
2016,14600,1_149,non_indigenous,12
2016,14650,1_149,non_indigenous,395
2016,14700,1_149,non_indigenous,82
2016,14750,1_149,non_indigenous,25
2016,14850,1_149,non_indigenous,110
2016,14870,1_149,non_indigenous,74
2016,14900,1_149,non_indigenous,426
2016,14920,1_149,non_indigenous,19
2016,14950,1_149,non_indigenous,10
2016,15050,1_149,non_indigenous,143
2016,15240,1_149,non_indigenous,345
2016,15270,1_149,non_indigenous,80
2016,15300,1_149,non_indigenous,31
2016,15350,1_149,non_indigenous,55
2016,15520,1_149,non_indigenous,38
2016,15560,1_149,non_indigenous,5
2016,15650,1_149,non_indigenous,49
2016,15700,1_149,non_indigenous,81
2016,15750,1_149,non_indigenous,26
2016,15800,1_149,non_indigenous,13
2016,15850,1_149,non_indigenous,28
2016,15900,1_149,non_indigenous,332
2016,15950,1_149,non_indigenous,175
2016,15990,1_149,non_indigenous,451
2016,16100,1_149,non_indigenous,22
2016,16150,1_149,non_indigenous,117
2016,16200,1_149,non_indigenous,44
2016,16260,1_149,non_indigenous,532
2016,16350,1_149,non_indigenous,269
2016,16380,1_149,non_indigenous,198
2016,16400,1_149,non_indigenous,168
2016,16490,1_149,non_indigenous,90
2016,16550,1_149,non_indigenous,445
2016,16610,1_149,non_indigenous,55
2016,16650,1_149,non_indigenous,308
2016,16700,1_149,non_indigenous,347
2016,16900,1_149,non_indigenous,134
2016,16950,1_149,non_indigenous,301
2016,17000,1_149,non_indigenous,50
2016,17040,1_149,non_indigenous,62
2016,17080,1_149,non_indigenous,45
2016,17100,1_149,non_indigenous,103
2016,17150,1_149,non_indigenous,401
2016,17200,1_149,non_indigenous,830
2016,17310,1_149,non_indigenous,109
2016,17350,1_149,non_indigenous,17
2016,17400,1_149,non_indigenous,43
2016,17420,1_149,non_indigenous,244
2016,17550,1_149,non_indigenous,264
2016,17620,1_149,non_indigenous,43
2016,17640,1_149,non_indigenous,20
2016,17650,1_149,non_indigenous,15
2016,17750,1_149,non_indigenous,131
2016,17850,1_149,non_indigenous,9
2016,17900,1_149,non_indigenous,26
2016,17950,1_149,non_indigenous,5
2016,18020,1_149,non_indigenous,39
2016,18050,1_149,non_indigenous,141
2016,18100,1_149,non_indigenous,14
2016,18200,1_149,non_indigenous,25
2016,18230,1_149,non_indigenous,81
2016,18250,1_149,non_indigenous,203
2016,18350,1_149,non_indigenous,137
2016,18400,1_149,non_indigenous,58
2016,18450,1_149,non_indigenous,568
2016,18500,1_149,non_indigenous,120
2016,18710,1_149,non_indigenous,28
2016,19399,1_149,non_indigenous,0
2016,19499,1_149,non_indigenous,0
2016,19799,1_149,non_indigenous,0
2016,20110,1_149,non_indigenous,47
2016,20260,1_149,non_indigenous,32
2016,20570,1_149,non_indigenous,247
2016,20660,1_149,non_indigenous,285
2016,20740,1_149,non_indigenous,116
2016,20830,1_149,non_indigenous,152
2016,20910,1_149,non_indigenous,237
2016,21010,1_149,non_indigenous,63
2016,21110,1_149,non_indigenous,510
2016,21180,1_149,non_indigenous,567
2016,21270,1_149,non_indigenous,35
2016,21370,1_149,non_indigenous,96
2016,21450,1_149,non_indigenous,153
2016,21610,1_149,non_indigenous,491
2016,21670,1_149,non_indigenous,56
2016,21750,1_149,non_indigenous,99
2016,21830,1_149,non_indigenous,84
2016,21890,1_149,non_indigenous,507
2016,22110,1_149,non_indigenous,191
2016,22170,1_149,non_indigenous,302
2016,22250,1_149,non_indigenous,60
2016,22310,1_149,non_indigenous,475
2016,22410,1_149,non_indigenous,83
2016,22490,1_149,non_indigenous,39
2016,22620,1_149,non_indigenous,304
2016,22670,1_149,non_indigenous,401
2016,22750,1_149,non_indigenous,655
2016,22830,1_149,non_indigenous,158
2016,22910,1_149,non_indigenous,53
2016,22980,1_149,non_indigenous,29
2016,23110,1_149,non_indigenous,255
2016,23190,1_149,non_indigenous,68
2016,23270,1_149,non_indigenous,445
2016,23350,1_149,non_indigenous,47
2016,23430,1_149,non_indigenous,420
2016,23670,1_149,non_indigenous,317
2016,23810,1_149,non_indigenous,251
2016,23940,1_149,non_indigenous,54
2016,24130,1_149,non_indigenous,110
2016,24210,1_149,non_indigenous,414
2016,24250,1_149,non_indigenous,36
2016,24330,1_149,non_indigenous,297
2016,24410,1_149,non_indigenous,265
2016,24600,1_149,non_indigenous,1169
2016,24650,1_149,non_indigenous,240
2016,24780,1_149,non_indigenous,170
2016,24850,1_149,non_indigenous,87
2016,24900,1_149,non_indigenous,108
2016,24970,1_149,non_indigenous,743
2016,25060,1_149,non_indigenous,376
2016,25150,1_149,non_indigenous,92
2016,25250,1_149,non_indigenous,495
2016,25340,1_149,non_indigenous,425
2016,25430,1_149,non_indigenous,82
2016,25490,1_149,non_indigenous,56
2016,25620,1_149,non_indigenous,45
2016,25710,1_149,non_indigenous,112
2016,25810,1_149,non_indigenous,53
2016,25900,1_149,non_indigenous,330
2016,25990,1_149,non_indigenous,38
2016,26080,1_149,non_indigenous,17
2016,26170,1_149,non_indigenous,113
2016,26260,1_149,non_indigenous,50
2016,26350,1_149,non_indigenous,359
2016,26430,1_149,non_indigenous,44
2016,26490,1_149,non_indigenous,70
2016,26610,1_149,non_indigenous,58
2016,26670,1_149,non_indigenous,20
2016,26700,1_149,non_indigenous,71
2016,26730,1_149,non_indigenous,88
2016,26810,1_149,non_indigenous,164
2016,26890,1_149,non_indigenous,11
2016,26980,1_149,non_indigenous,602
2016,27070,1_149,non_indigenous,436
2016,27170,1_149,non_indigenous,74
2016,27260,1_149,non_indigenous,379
2016,27350,1_149,non_indigenous,306
2016,27450,1_149,non_indigenous,323
2016,27630,1_149,non_indigenous,35
2016,29399,1_149,non_indigenous,6
2016,29499,1_149,non_indigenous,0
2016,29799,1_149,non_indigenous,0
2016,30250,1_149,non_indigenous,0
2016,30300,1_149,non_indigenous,11
2016,30370,1_149,non_indigenous,47
2016,30410,1_149,non_indigenous,13
2016,30450,1_149,non_indigenous,0
2016,30760,1_149,non_indigenous,3
2016,30900,1_149,non_indigenous,0
2016,31000,1_149,non_indigenous,2543
2016,31750,1_149,non_indigenous,0
2016,31820,1_149,non_indigenous,287
2016,31900,1_149,non_indigenous,55
2016,31950,1_149,non_indigenous,0
2016,32080,1_149,non_indigenous,312
2016,32250,1_149,non_indigenous,3
